[02/25/23 18:19:15] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:24:04] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:24:34] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:25:08] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:25:46] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:26:36] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:27:12] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:27:29] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:31:07] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:31:38] [INFO] received Windows console close event; shutting log-core down
[02/25/23 18:33:03] [INFO] received Windows console close event; shutting log-core down
[02/25/23 19:00:24] [INFO] received Windows console close event; shutting log-core down
[02/25/23 19:09:27] [INFO] received Windows console close event; shutting log-core down
[02/25/23 20:16:36] [INFO] received Windows console close event; shutting log-core down
[02/25/23 20:21:36] [INFO] received Windows console close event; shutting log-core down
[02/25/23 20:24:39] [INFO] received Windows console close event; shutting log-core down
[02/25/23 21:47:08] [INFO] received Windows console close event; shutting log-core down
[02/25/23 21:51:29] [INFO] received Windows console close event; shutting log-core down
[02/25/23 21:53:33] [INFO] received Windows console close event; shutting log-core down
[02/25/23 21:54:33] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:02:07] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:08:41] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:13:09] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:14:26] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:18:00] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:21:40] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:23:33] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:24:42] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:25:11] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:26:53] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:28:01] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:29:22] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:31:43] [INFO] received Windows console close event; shutting log-core down
[02/25/23 22:35:08] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:29:32] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:30:18] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:30:42] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:43:35] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:47:02] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:47:48] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:54:02] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:55:17] [INFO] received Windows console close event; shutting log-core down
[02/26/23 10:59:19] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:10:54] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:11:56] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:12:07] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:29:19] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:34:27] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:35:58] [INFO] received Windows console close event; shutting log-core down
[02/26/23 11:37:56] [INFO] received Windows console close event; shutting log-core down
[02/26/23 12:13:21] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:35:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/26/23 13:37:03] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:37:42] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:38:39] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:40:50] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:44:56] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:47:29] [INFO] received Windows console close event; shutting log-core down
[02/26/23 13:47:33] [INFO] received Windows console close event; shutting log-core down
[02/26/23 14:42:10] [INFO] received Windows console close event; shutting log-core down
[02/26/23 16:50:55] [INFO] received Windows console close event; shutting log-core down
[02/26/23 16:56:25] [INFO] received Windows console close event; shutting log-core down
[02/26/23 16:58:20] [INFO] received Windows console close event; shutting log-core down
[02/26/23 16:59:21] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:00:08] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:14:29] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:17:41] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:18:50] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:19:46] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:23:28] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:24:18] [INFO] received Windows console close event; shutting log-core down
[02/26/23 17:25:57] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:20:04] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:23:29] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:29:15] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:37:22] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:41:09] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:43:11] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:45:36] [INFO] received Windows console close event; shutting log-core down
[02/26/23 20:55:12] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:27:45] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:28:57] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:29:50] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:32:01] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:33:59] [INFO] received Windows console close event; shutting log-core down
[02/26/23 22:36:19] [INFO] received Windows console close event; shutting log-core down
[02/26/23 23:04:05] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:24:03] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:27:23] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:28:13] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:29:22] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:37:12] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:41:40] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:43:16] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:44:36] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:04:56] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:05:34] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:06:06] [INFO] received Windows console close event; shutting log-core down
[02/27/23 11:51:50] [INFO] received Windows console close event; shutting log-core down
